"","hhid14","commid14","sc01_14_14","sc02_14_14","sc03_14_14","year","asset","natrep","natdis","assistance","assistance.x","wealth","wealth.0","asset.lag","asset.ihs","asset.ihs.lag","wealth.lag","asset.ihs.delta","natrep.0","natrep.1","natdis.0","natdis.1","assistance.prop.ihs"
"57","0031400","1203",12,77,50,2007,233445.5,0,0,0,0,1,1,3188416,13.0538511047016,15.6681819802742,1,-2.61433087557264,0,0,0,0,0
"58","0031400","1203",12,77,50,2014,63730000,0,0,0,0,2,1,233445.5,18.6633131478504,13.0538511047016,1,5.60946204314884,0,0,0,0,0
"59","0031431","12A7",12,77,50,2007,13509717,0,0,0,0,1,1,5508558,17.1120669428306,16.214960621449,1,0.897106321381639,0,0,0,0,0
"60","0031431","12A7",12,77,50,2014,2150000,0,0,0,0,1,1,13509717,15.2741255806638,17.1120669428306,1,-1.83794136216675,0,0,0,0,0
"61","0031500","1203",12,77,50,2007,76863813.5,0,0,0,0,3,3,57883984.4,18.8506929386153,18.5670984768954,3,0.283594461719943,0,0,0,0,0
"62","0031500","1203",12,77,50,2014,133220000,0,0,0,0,3,3,76863813.5,19.4006596355093,18.8506929386153,3,0.549966696893907,0,0,0,0,0
"63","0031700","1203",12,77,50,2007,0,0,0,0,0,1,5,177640320,0,19.6884185703426,5,-19.6884185703426,0,1,0,0,0
"64","0031700","1203",12,77,50,2014,507365000,1,0,0,0,5,5,0,20.737888404201,0,1,20.737888404201,0,1,0,0,0
"65","0031800","1203",12,77,50,2007,151814880,0,0,0,0,4,4,130483078,19.5313196223972,19.3799012863809,4,0.151418336016214,0,0,0,0,0
"66","0031800","1203",12,77,50,2014,285600000,0,0,0,0,4,4,151814880,20.1632499689896,19.5313196223972,4,0.631930346592497,0,0,0,0,0
"67","0031831","1203",12,77,50,2007,9488430,0,0,0,0,1,4,78998700,16.7587309001574,18.8780891351596,4,-2.11935823500227,0,0,0,0,0
"68","0031831","1203",12,77,50,2014,25130000,0,0,0,0,1,4,9488430,17.7327200900797,16.7587309001574,1,0.973989189922346,0,0,0,0,0
"69","0031900","1203",12,77,50,2007,153697505,0,0,0,0,4,5,210093840,19.5436441560157,19.8562120265736,5,-0.312567870557888,0,0,0,0,0
"70","0031900","1203",12,77,50,2014,1305159995,0,0,0,0,5,5,153697505,21.6827386522986,19.5436441560157,4,2.13909449628289,0,0,0,0,0
"71","0031911","1203",12,77,50,2007,3870677,1,0,0,0,1,5,220769340,15.862087165667,19.9057761845897,5,-4.04368901892272,1,0,0,0,0
"72","0031911","1203",12,77,50,2014,16050000,0,0,0,0,1,5,3870677,17.2843665881002,15.862087165667,1,1.42227942243321,1,0,0,0,0
"73","0031931","12BE",12,77,20,2007,131934360,1,0,0,0,4,1,9821460,19.3909622647022,16.7932275260105,1,2.59773473869176,1,1,0,0,0
"74","0031931","12BE",12,77,20,2014,45630000,1,0,0,0,2,1,131934360,18.3292231334635,19.3909622647022,4,-1.0617391312387,1,1,0,0,0
"75","0032000","1203",12,77,50,2007,394598200,1,0,0,0,5,4,160602222,20.486525770521,19.5875883755576,4,0.898937394963372,1,0,0,0,0
"76","0032000","1203",12,77,50,2014,61050000,0,0,0,0,2,4,394598200,18.6203509390809,20.486525770521,5,-1.86617483144005,1,0,0,0,0
"77","0032031","1203",12,77,50,2007,263567500,1,0,0,0,5,4,118768496,20.0829672406834,19.2858339250998,4,0.797133315583629,1,0,0,0,0
